#OTU ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_4043,Bacteria, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctomyces, 
OTU_109,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Mycobacteriaceae, Mycobacterium, 
OTU_130,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae,,
OTU_694,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Promicromonosporaceae, Xylanimicrobium, 
OTU_3221,Bacteria, Lentisphaerae, [Lentisphaeria], Victivallales, Victivallaceae, , 
OTU_4189,Bacteria, Proteobacteria, Deltaproteobacteria, Spirobacillales, , , 
OTU_2636,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, , , 
OTU_1734,Bacteria, Cyanobacteria, 4C0d-2, MLE1-12, , , 
OTU_2352,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_2437,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_660,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes, 
OTU_1265,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, wittichii
OTU_1134,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], Chthoniobacter, 
OTU_430,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella, 
OTU_1693,Archaea, Crenarchaeota, Thaumarchaeota, Nitrososphaerales, Nitrososphaeraceae, Candidatus Nitrososphaera, SCA1170
OTU_3042,Bacteria, Acidobacteria, [Chloracidobacteria], 11-24, , , 
OTU_3143,Bacteria,,,,,,
OTU_1272,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, , , 
OTU_1413,Bacteria, Acidobacteria, [Chloracidobacteria], RB41, Ellin6075, , 
OTU_4015,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_3853,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, 
OTU_667,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Marinilabiaceae, , 
OTU_2412,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU_2885,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, mitochondria, , 
OTU_2788,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, 
OTU_394,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cyclobacteriaceae,,
OTU_3850,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], Wautersiella, 
OTU_1390,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae, Rothia, mucilaginosa
OTU_2590,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_3139,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, mitochondria, , 
OTU_3164,Bacteria, Acidobacteria, Solibacteres, Solibacterales, , , 
OTU_1757,Bacteria, Actinobacteria, Acidimicrobiia, Acidimicrobiales, C111, , 
OTU_771,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae,,
OTU_843,Bacteria, Acidobacteria, Acidobacteria-6, iii1-15, , , 
OTU_1511,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Rhabdochlamydiaceae, Candidatus Rhabdochlamydia, 
OTU_2333,Bacteria, Cyanobacteria, 4C0d-2, SM1D11, , , 
OTU_2338,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Sinobacteraceae, Steroidobacter, 
OTU_4158,Bacteria, TM7, TM7-1, , , , 
OTU_1166,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Cupriavidus, 
OTU_1807,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio,
OTU_1712,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae,,
OTU_3258,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], Candidatus Xiphinematobacter, 
OTU_2013,Bacteria, Chloroflexi, Anaerolineae, H39, , , 
OTU_1289,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus, cecorum
OTU_115,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU_064,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Vogesella, 
OTU_2498,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_920,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU_1470,Bacteria, Chloroflexi, TK10, AKYG885, Dolo 23, , 
OTU_3843,Bacteria, GN02,,,,,
OTU_1532,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes, 
OTU_1882,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_1316,Bacteria, Proteobacteria, Alphaproteobacteria, Ellin329, , , 
OTU_4082,Bacteria, Proteobacteria, Alphaproteobacteria, Ellin329, , , 
OTU_825,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Dyadobacter, 
OTU_2868,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_612,Bacteria, Acidobacteria, Acidobacteria-6, iii1-15, mb2424, , 
OTU_1880,Bacteria, Proteobacteria, Betaproteobacteria, SC-I-84, , , 
OTU_541,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter, 
OTU_3326,Bacteria, Actinobacteria, Acidimicrobiia, Acidimicrobiales, AKIW874, , 
OTU_1027,Bacteria, Actinobacteria, Thermoleophilia, Gaiellales, Gaiellaceae, , 
OTU_576,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae,,
OTU_836,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU_155,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], Chryseobacterium, 
OTU_2576,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, , , 
OTU_4129,Bacteria, TM6, SBRH58, , , , 
OTU_1947,Bacteria, Cyanobacteria, Synechococcophycideae, Synechococcales, Synechococcaceae, Synechococcus, 
OTU_3379,Bacteria, Planctomycetes, Planctomycetia, Pirellulales, Pirellulaceae, , 
OTU_1420,Bacteria, Firmicutes, Clostridia, Clostridiales,,,
OTU_899,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Hydrogenophaga, 
OTU_1288,Bacteria, Gemmatimonadetes, Gemm-1, , , , 
OTU_2082,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, , , 
OTU_796,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,
OTU_3097,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Parachlamydiaceae, , 
OTU_1602,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, , , 
OTU_1722,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_2581,Bacteria,,,,,,
OTU_1258,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata,
OTU_2301,Bacteria, Planctomycetes, OM190, CL500-15, , , 
OTU_2024,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_3219,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales],,,
OTU_3900,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, Flavihumibacter, 
OTU_157,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae,,
OTU_2212,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Blvii28, 
OTU_3803,Bacteria, Verrucomicrobia,,,,,
OTU_3489,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales,,,
OTU_1542,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, botulinum
OTU_1203,Bacteria, Firmicutes, Clostridia, Clostridiales,,,
OTU_991,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales,,,
OTU_3660,Bacteria, Proteobacteria, Gammaproteobacteria,,,,
OTU_3206,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, Patulibacteraceae, , 
OTU_3499,Bacteria, Chloroflexi, Ellin6529, , , , 
OTU_1505,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Saprospiraceae, , 
OTU_1593,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Aquicella, 
OTU_4190,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Actinospicaceae, , 
OTU_316,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Streptomycetaceae, Streptomyces, lanatus
OTU_2815,Bacteria, Acidobacteria, Acidobacteriia, Acidobacteriales, Acidobacteriaceae, Terriglobus, 
OTU_2336,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter, 
OTU_3040,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Sinobacteraceae, Steroidobacter, 
OTU_1535,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, Conexibacteraceae, , 
OTU_1849,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, , , 
OTU_3924,Bacteria, OD1, , , , , 
OTU_2096,Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae,,
OTU_926,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, 
OTU_1173,Bacteria, Firmicutes, Clostridia, Clostridiales, [Mogibacteriaceae], Anaerovorax, 
OTU_1119,Bacteria, Acidobacteria, [Chloracidobacteria], RB41, , , 
OTU_2424,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, , 
OTU_1719,Bacteria, Proteobacteria, Betaproteobacteria, , , , 
OTU_228,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Devosia, 
OTU_1323,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, 
OTU_600,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillospira, 
OTU_2034,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae,,
OTU_985,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium,
OTU_144,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], Chryseobacterium, 
OTU_183,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Vogesella, 
OTU_1043,Bacteria, Proteobacteria, Betaproteobacteria, MND1, , , 
OTU_2274,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Rhabdochlamydiaceae, Candidatus Rhabdochlamydia, 
OTU_4230,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_993,Bacteria,,,,,,
OTU_1930,Bacteria, Proteobacteria,,,,,
OTU_2737,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Aquicella, 
OTU_1492,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Gallicola, 
OTU_3233,Bacteria, TM6, SBRH58, , , , 
OTU_3814,Bacteria, TM6, SJA-4, , , , 
OTU_1743,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, Niabella, 
OTU_3321,Bacteria, Acidobacteria, [Chloracidobacteria], DS-100, , , 
OTU_2008,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], Ellin506, 
OTU_2070,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae,,
OTU_4044,Bacteria, Proteobacteria,,,,,
OTU_2485,Bacteria, Armatimonadetes, 0319-6E2, , , , 
OTU_3816,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_185,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae,,
OTU_601,Bacteria, Proteobacteria, Betaproteobacteria, ASSO-13, , , 
OTU_1298,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes, 
OTU_374,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes, 
OTU_3908,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Aquicella, 
OTU_3344,Bacteria, Actinobacteria, Acidimicrobiia, Acidimicrobiales,,,
OTU_3673,Bacteria, Acidobacteria, S035, , , , 
OTU_3588,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU_1599,Bacteria, Cyanobacteria, Chloroplast, Streptophyta, , , 
OTU_1401,Bacteria, OD1, SM2F11, , , , 
OTU_553,Bacteria, Acidobacteria, [Chloracidobacteria], RB41, Ellin6075, , 
OTU_3667,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Parachlamydiaceae,,
OTU_3662,Bacteria, Verrucomicrobia, [Pedosphaerae], [Pedosphaerales], , , 
OTU_090,Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, [Chromatiaceae], Rheinheimera, 
OTU_1210,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter, 
OTU_1012,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, , 
OTU_2671,Bacteria, TM6, SJA-4, , , , 
OTU_3982,Bacteria, Proteobacteria, Deltaproteobacteria,,,,
OTU_1795,Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophobacteraceae, , 
OTU_695,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae,,
OTU_3176,Bacteria, Actinobacteria, Acidimicrobiia, Acidimicrobiales, , , 
OTU_3460,Bacteria, Acidobacteria, [Chloracidobacteria], RB41, Ellin6075, , 
OTU_3240,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, wittichii
OTU_960,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Arenimonas, oryziterrae
OTU_3904,Bacteria, Chloroflexi, S085, , , , 
OTU_453,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes, 
OTU_1494,Bacteria, Planctomycetes, Phycisphaerae, Phycisphaerales, , , 
OTU_2734,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU_1182,Bacteria, Cyanobacteria, Chloroplast, Stramenopiles, , , 
OTU_3451,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_1349,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Peptoniphilus, 
OTU_1528,Bacteria, Planctomycetes, OM190, CL500-15, , , 
OTU_210,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, , 
OTU_3133,Bacteria, Armatimonadetes, [Fimbriimonadia], , , , 
OTU_4146,Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Garciella, 
OTU_3357,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Parachlamydiaceae,,
OTU_3920,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Ellin5290, , , 
OTU_004,Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae,,
OTU_582,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_4089,Bacteria, Proteobacteria, Alphaproteobacteria, BD7-3, , , 
OTU_3287,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, 
OTU_1742,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Anaerococcus, 
OTU_1816,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_2128,Bacteria, Gemmatimonadetes, Gemm-1, , , , 
OTU_2215,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU_793,Bacteria, Planctomycetes, Pla4, , , , 
OTU_2629,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_3111,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Cytophaga, 
OTU_727,Bacteria, Spirochaetes, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema, 
OTU_2154,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium,
OTU_1150,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas,
OTU_2826,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Rhabdochlamydiaceae, Candidatus Rhabdochlamydia, 
OTU_3774,Bacteria, Armatimonadetes, 0319-6E2, , , , 
OTU_3444,Bacteria, Planctomycetes, Phycisphaerae, mle1-8, , , 
OTU_3529,Bacteria, Proteobacteria, Betaproteobacteria, SC-I-84, , , 
OTU_1048,Bacteria, Armatimonadetes, Chthonomonadetes, Chthonomonadales, , , 
OTU_1804,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingopyxis, 
OTU_2296,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_1628,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, , , 
OTU_3524,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, , , 
OTU_396,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio,
OTU_3789,Bacteria, Proteobacteria, Betaproteobacteria, Procabacteriales, Procabacteriaceae, , 
OTU_3390,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Mycobacteriaceae, Mycobacterium, 
OTU_975,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, marcusii
OTU_1060,Bacteria, Acidobacteria, Acidobacteria-6, CCU21, , , 
OTU_4070,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_2563,Bacteria, TM7, TM7-1, , , , 
OTU_2156,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Marinilabiaceae, Ruminofilibacter, xylanolyticum
OTU_1904,Bacteria, Spirochaetes, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema, 
OTU_4133,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], , 
OTU_3515,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Criblamydiaceae, Estrella, lausannensis
OTU_3951,Bacteria, Verrucomicrobia, [Pedosphaerae], [Pedosphaerales],,,
OTU_2028,Archaea, Euryarchaeota, Thermoplasmata, E2, [Methanomassiliicoccaceae], vadinCA11, 
OTU_3049,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Rhabdochlamydiaceae, Candidatus Rhabdochlamydia, 
OTU_3389,Bacteria, Proteobacteria, Betaproteobacteria, SC-I-84, , , 
OTU_2452,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, , , 
OTU_3508,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU_595,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Aminobacter, 
OTU_3923,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales,,,
OTU_2853,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU_519,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], Chthoniobacter, 
OTU_3510,Bacteria, Planctomycetes, Planctomycetia, B97, , , 
OTU_3102,Bacteria, OP11, OP11-3, , , , 
OTU_1257,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, , 
OTU_2386,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_3817,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU_2377,Bacteria, TM6, SJA-4, , , , 
OTU_3066,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, mitochondria, Thalassiosira, pseudonana
OTU_3014,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Microbacteriaceae,,
OTU_1319,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae,,
OTU_2036,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU_1234,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Dermabacteraceae, Dermabacter, 
OTU_2211,Bacteria, Tenericutes, Mollicutes, Acholeplasmatales, Acholeplasmataceae, Acholeplasma, morum
OTU_1224,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae,,
OTU_1429,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, , 
OTU_2318,Bacteria, Proteobacteria, Betaproteobacteria,,,,
OTU_709,Bacteria, Gemmatimonadetes, Gemm-3, , , , 
OTU_869,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingopyxis, 
OTU_3560,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, , , 
OTU_2724,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Phenylobacterium, 
OTU_1514,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, , , 
OTU_3399,Bacteria, TM7, TM7-1, , , , 
OTU_2170,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales,,,
OTU_1769,Bacteria, Verrucomicrobia, Opitutae, [Cerasicoccales], [Cerasicoccaceae], , 
OTU_3860,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_919,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, Chitinophaga, 
OTU_1367,Bacteria, Cyanobacteria, Chloroplast, Chlorophyta, Chlamydomonadaceae,,
OTU_3195,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, Niabella, 
OTU_534,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, Niabella, 
OTU_2292,Bacteria, OD1, Mb-NB09, , , , 
OTU_2753,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
OTU_006,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae, Arthrobacter,
OTU_3619,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Uliginosibacterium, 
OTU_2488,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Sinobacteraceae,,
OTU_851,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Cupriavidus, 
OTU_1713,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Peptoniphilus, 
OTU_084,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium,
OTU_1004,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], Elizabethkingia, meningoseptica
OTU_3416,Bacteria, OP11, WCHB1-64, d153, , , 
OTU_1762,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, , 
OTU_3578,Bacteria, TM6, SJA-4, , , , 
OTU_1058,Bacteria, Acidobacteria, Acidobacteria-6, iii1-15, , , 
OTU_2876,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, , 
OTU_849,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae,,
OTU_3349,Bacteria, TM6, SJA-4, , , , 
OTU_337,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes, 
OTU_2449,Bacteria, Acidobacteria, Acidobacteria-6, iii1-15, , , 
OTU_3467,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Labrys, 
OTU_1812,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, , , 
OTU_447,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, , 
OTU_1561,Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae,,
OTU_058,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], Chryseobacterium, 
OTU_4167,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, , 
OTU_3512,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_4049,Bacteria, OD1, ZB2, , , , 
OTU_009,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Hyphomicrobium, 
OTU_3332,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Phaeospirillum, fulvum
OTU_2796,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_3039,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Parachlamydiaceae, Parachlamydia, 
OTU_1817,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales,,,
OTU_1318,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae, Rothia, aeria
OTU_1857,Bacteria, Actinobacteria, Acidimicrobiia, Acidimicrobiales, , , 
OTU_3787,Bacteria, Proteobacteria,,,,,
OTU_160,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, , 
OTU_4191,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, , , 
OTU_3916,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Ellin5290, , , 
OTU_2872,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_3509,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], Ellin506, 
OTU_1828,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales,,,
OTU_1483,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, mitochondria, , 
OTU_3075,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_3750,Bacteria, Firmicutes, Clostridia,,,,
OTU_1115,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium, 
OTU_2662,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_2447,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micromonosporaceae, Pilimelia, 
